gene_name,b_number,Ref_seq,WG_1.11,WGM_0.62,WGMC_0.62,WHIC_0.35,Pearson,Slope
kch,b1250,WP_001295624.1,-1.042016816,0.000293225,0.29563547,0.241384312,-0.924465583,-1.821214007
otsB,b1897,WP_001295645.1,0.506787811,1.209970689,1.230989599,1.883939123,-0.984417566,-1.748356042
otsA,b1896,WP_001295646.1,0.428036059,1.098870388,0.996900905,1.794814618,-0.961760025,-1.702846416
ydeN,b1498,WP_001295684.1,1.503009021,5.073314729,5.502682015,4.76430054,-0.848870249,-4.906176712
osmY,b4376,WP_001295748.1,-0.198749413,1.03298373,1.607772439,3.129879942,-0.951454278,-4.150576819
yhjG,b3524,WP_001296794.1,0.426616213,0.715428695,1.163651712,1.964298847,-0.873215471,-1.848349934
yhiD,b3508,WP_001296814.1,-1.177619891,3.167271579,3.855112847,3.208767366,-0.882435314,-6.451795247
sodC,b1646,WP_001296937.1,0.73098211,1.117268152,1.18142646,2.200799069,-0.877992921,-1.740480835
rdgC,b0393,WP_001298537.1,-0.78119992,-0.032840919,0.178421757,0.851892521,-0.977534615,-2.076085014
hdeB,b3509,WP_001298717.1,-1.545385067,2.767234547,4.019310692,3.783966678,-0.923901298,-7.561620681
guaB,b2508,WP_001299507.1,-1.271988217,-0.548099571,0.224610464,0.816561495,-0.926407446,-2.661699765
yjjU,b4377,WP_001299799.1,-0.051526575,0.727303981,0.633655227,1.41734556,-0.977231449,-1.854118058
appA,b0980,WP_001300464.1,-0.043188988,0.55201593,0.38756058,1.319641874,-0.924024016,-1.659513217
mcbR,b1450,WP_001300742.1,-0.012925381,0.381553616,0.55396365,1.638379654,-0.878332645,-1.959286733
ydeM,b1497,WP_001301030.1,0.853896099,3.782549146,3.633665616,4.723649519,-0.991880387,-5.223107685
flxA,b1566,WP_001301033.1,-0.090530404,0.351547183,0.598355303,1.683488382,-0.891163258,-2.12282847
emtA,b1193,WP_001301104.1,-0.211950598,0.027577349,0.135814269,1.137287689,-0.833155292,-1.564651207
patA,b3073,WP_001301395.1,0.730321896,1.112513366,1.210500204,2.753613016,-0.83158625,-2.342970926
yjjY,b4402,WP_001303782.1,-0.38935939,0.867099107,1.406708012,1.71483074,-0.965907757,-2.830677025
gcd,b0124,WP_001306211.1,-0.653652296,-0.358683808,0.036866651,1.586000107,-0.825989389,-2.599165304
ymgE,b1195,WP_001310727.1,0.445832591,1.213040944,0.983016645,2.491797214,-0.893942143,-2.448255516
yajI,b0412,WP_001326929.1,0.010412376,0.614124116,0.855505044,1.851942014,-0.931045441,-2.253843054
yegP,b2080,WP_001350529.1,0.818828923,1.592019828,2.162053527,2.57155479,-0.950426847,-2.279955999
aidB,b4187,WP_001350567.1,0.587223195,1.994895064,2.007412245,2.7300677,-0.999775513,-2.831361963
