Name,gene,locus_tag,Stationary rep1,Stationary rep2,Stationary rep3,3h fresh media rep1,3h fresh media rep2,3h fresh media rep3,3h queueing rep1,3h queueing rep2,3h queueing rep3,3h amp media rep1,3h amp media rep2,3h amp media rep3,3h queueing amp rep1,3h queueing amp rep2,3h queueing amp rep3,6h amp media rep1,6h amp media rep2,6h amp media rep3
yicI CDS,yicI,b3656,2,9.5,18.5,4193,2647.5,254,104.5,1299.5,553.5,1301.5,2301.5,898.5,811,526.5,430,65.5,48,74.5
yicJ CDS,yicJ,b3657,0,10,31,3144.5,2006,64,34,1201,115.5,1290,2168,310,652,209.5,125.5,15.5,19,23.5
yicL CDS,yicL,b3660,0,10,9,1900,1209.5,300,90.5,718,355,706.5,1320.5,646.5,468.5,504.5,329.5,32,38,36
yicN CDS,yicN,b3663,0,4.5,9.5,1195,650.5,86.5,37,359.5,178.5,414,755,268,264.5,174.5,187.5,27,23,27
yicR CDS,yicR,b3638,15,5,9,1656,1014,800,88,758,816,695,1156,756,551,457,414,128,130,134
yicS CDS,yicS,b4555,0,2,2,382.5,330.5,37.5,22,137,50,56.5,121,86.5,84,54,47.5,4,3.5,7.5
yidA CDS,yidA,b3697,8,4,5,2079,1247.5,665,231.5,759.5,1262.5,804,1710.5,2703,580,1528.5,1150,135.5,133.5,155.5
yidB CDS,yidB,b3698,1,6,4,866.5,528.5,376,54,397,388.5,504,971,465.5,272.5,314.5,248.5,87,84.5,87
yidC CDS,yidC,b3705,14,23,36.5,4614,3687,18614,3101,4462,20768,3169,9183.5,29408,5697,18650,20126.5,3272.5,2866.5,4440.5
yidD CDS,yidD,b4557,3,7,7,832.5,720,1909,888,1100.5,2441,679,1231,5783,1471.5,2903.5,3232,399.5,320.5,415
yidE CDS,yidE,b3685,6,15,19.5,3956,2283,544.5,219.5,1245.5,1228,1494.5,2205.5,2432.5,755.5,1579,1583,224.5,211,209.5
yidF CDS,yidF,b3674,4,4,7,1221.5,664.5,283.5,35.5,379,319,354.5,972,462,172,341.5,271.5,58,70,70.5
yidG CDS,yidG,b3675,3.5,1.5,5,725.5,459,256,38.5,270.5,314.5,224,533,357.5,140.5,282.5,257.5,24.5,36.5,37
yidH CDS,yidH,b3676,6,2.5,0,619,329.5,184,42,254,347,286,535.5,618,117,479,286,58.5,62.5,63
yidI CDS,yidI,b3677,0,3,13.5,1138,738.5,125,19.5,618,105.5,686.5,1243,342,271.5,219.5,170,45.5,55.5,81.5
yidJ CDS,yidJ,b3678,0,10,16.5,2547,1513.5,151,29.5,813,225.5,776,1509.5,442.5,422.5,283,199,28,13.5,41.5
yidK CDS,yidK,b3679,5,6,24,3715.5,2278,70.5,27,1377,148.5,1339.5,2083.5,322,553.5,192.5,100,25.5,19.5,31
yidL CDS,yidL,b3680,2,0,4,944,588,29,9,457,70,379,628,173,184,99,73,17,17,16
yidP CDS,yidP,b3684,1,3,13.5,1798,1043,62.5,15.5,620.5,126,583.5,866.5,199.5,328.5,123,87,14.5,8,10.5
yidQ CDS,yidQ,b3688,10.5,5,10.5,1131.5,666.5,1600.5,191,472,1793.5,428.5,1620.5,2240,481,1668,1217.5,368,364.5,456.5
yidR CDS,yidR,b3689,11.5,14,31.5,3655,2323,2081.5,235,1686,2512,1990.5,4822.5,3330.5,991.5,2786,1948.5,227,265,286.5
yidX CDS,yidX,b3696,2,7,4,737.5,473,151,60.5,371.5,240,405,1073.5,569.5,155.5,326,305.5,51.5,20,63.5
yidZ CDS,yidZ,b3711,6,4.5,6,1824.5,1134,330.5,89.5,612.5,430,584,1177.5,733,392,487,461,52,44.5,36.5
yieE CDS,yieE,b3712,3.5,7,9,1186,718.5,532,148,470.5,626.5,533,1122.5,1111,381,644,632,247.5,203.5,243
yieF CDS,yieF,b3713,7,0.5,7,867,469,876,81,332.5,898,434.5,1324,980,271,840,649.5,211.5,194.5,224
yieH CDS,yieH,b3715,0,2,2,1115,697.5,172.5,68,568.5,252,394.5,701,433.5,265,249.5,190.5,57,59.5,63.5
yieK CDS,yieK,b3718,4,10,10,1798,911,90,11.5,706,135.5,696,1216.5,231.5,342,175.5,88,27.5,28.5,26.5
yieL CDS,yieL,b3719,6,4,10,1706.5,1068.5,95,12.5,837,108,802.5,1412,227,324,110.5,71.5,17.5,14,31.5
yieP CDS,yieP,b3755,12,5,7,1114,634,1069.5,173,558.5,1107,555,1580,2028,420,1583.5,1191.5,82,110,156.5
