gene,b_accession
yjgW,b4274
yjgX,b4575
yjgZ,b4277
insG,b4278
yjhB,b4279
yjhC,b4280
yjhD,b4281
yjhE,b4282
insN-2,b4283
insI-3,b4284
insM,b4561
insO-2,b4285
yjhW,b4562
yjhV,b4286
fecE,b4287
fecD,b4288
fecC,b4289
fecB,b4290
fecA,b4291
fecR,b4292
fecI,b4293
insA-7,b4294
insB-7,b4576
yjhU,b4295
yjhF,b4296
yjhG,b4297
yjhH,b4298
yjhI,b4299
sgcR,b4300
sgcE,b4301
sgcA,b4302
sgcQ,b4303
sgcC,b4304
sgcB,b4565
sgcX,b4305
yjhP,b4306
yjhQ,b4307
yjhX,b4566
yjhR,b4308
yjhS,b4309
yjhT,b4310
yjhA,b4311
fimB,b4312
fimE,b4313
fimA,b4314
fimI,b4315
fimC,b4316
fimD,b4317
fimF,b4318
fimG,b4319
fimH,b4320
yjiC,b4325
yjiD,b4326
yjiE,b4327
iadA,b4328
yjiG,b4329
yjiH,b4330
kptA,b4331
yjiJ,b4332
yjiK,b4333
yjiL,b4334
yjiM,b4335
yjiN,b4336
yjiO,b4337
yjiP,b4338
yjiQ,b4339
yjiR,b4340
yjiS,b4341
yjiT,b4342
yjiV,b4486
mcrC,b4345
mcrB,b4346
yjiW,b4347
hsdS,b4348
hsdM,b4349
hsdR,b4350
mrr,b4351
yjiA,b4352
yjiX,b4353
yjiY,b4354
tsr,b4355
yjiZ,b4356
yjjM,b4357
yjjN,b4358
